,Filename,Date,Cage,Injection,Night-Phase,Bin,start_frame,stop_frame,name,idA,idB,idC,idD,RFidA,RFidB,RFidC,RFidD,GenoA,GenoB,GenoC,GenoD,totalLength,meanLength,medianLength,totalDistance,numberOfEvents,stdLength,CI95_low,CI95_up
41,221019_Amphet_Cage1_3-2NaCl,221019,Cage1,3-2NaCl,1,1,44226,152226,FollowZone Isolated,2,1,,,000004849076,000004849319,,,NaCl,NaCl,,,74,1.8048780487804879,,7046.196211322124,41,1.2536680269167215,1.4211295470113086,2.1886265505496674
42,221019_Amphet_Cage1_3-2NaCl,221019,Cage1,3-2NaCl,1,1,44226,152226,Train2,1,2,,,000004849319,000004849076,,,NaCl,NaCl,,,0,,,7046.196211322124,0,,,
43,221019_Amphet_Cage1_3-2NaCl,221019,Cage1,3-2NaCl,1,1,44226,152226,Train2,2,1,,,000004849076,000004849319,,,NaCl,NaCl,,,0,,,7046.196211322124,0,,,
44,221019_Amphet_Cage1_3-2NaCl,221019,Cage1,3-2NaCl,1,1,44226,152226,Group2,1,2,,,000004849319,000004849076,,,NaCl,NaCl,,,10571,8.369754552652415,,7046.196211322124,1263,88.3470551702975,3.4973148422945846,13.242194263010244
45,221019_Amphet_Cage1_3-2NaCl,221019,Cage1,3-2NaCl,1,1,44226,152226,Group2,2,1,,,000004849076,000004849319,,,NaCl,NaCl,,,10571,8.369754552652415,,7046.196211322124,1263,88.3470551702975,3.4973148422945846,13.242194263010244
46,221019_Amphet_Cage1_3-2NaCl,221019,Cage1,3-2NaCl,1,2,152226,260226,Move,1,,,,000004849319,000004849319,,,NaCl,NaCl,,,0,,,9354.029830853613,0,,,
47,221019_Amphet_Cage1_3-2NaCl,221019,Cage1,3-2NaCl,1,2,152226,260226,Move,2,,,,000004849076,000004849319,,,NaCl,NaCl,,,0,,,9354.029830853613,0,,,
48,221019_Amphet_Cage1_3-2NaCl,221019,Cage1,3-2NaCl,1,2,152226,260226,Move isolated,1,,,,000004849319,000004849319,,,NaCl,NaCl,,,7151,8.774233128834355,,9354.029830853613,815,11.292239525074876,7.99895532809074,9.549510929577972
49,221019_Amphet_Cage1_3-2NaCl,221019,Cage1,3-2NaCl,1,2,152226,260226,Move isolated,2,,,,000004849076,000004849319,,,NaCl,NaCl,,,2628,6.0974477958236655,,9354.029830853613,431,8.27737071031889,5.315982237163406,6.878913354483925
50,221019_Amphet_Cage1_3-2NaCl,221019,Cage1,3-2NaCl,1,2,152226,260226,Rearing,1,,,,000004849319,000004849319,,,NaCl,NaCl,,,74949,153.58401639344262,,9354.029830853613,488,512.8846108909747,108.07831333031623,199.08971945656901
51,221019_Amphet_Cage1_3-2NaCl,221019,Cage1,3-2NaCl,1,2,152226,260226,Rearing,2,,,,000004849076,000004849319,,,NaCl,NaCl,,,78119,175.54831460674157,,9354.029830853613,445,942.4719591229833,87.9805015603979,263.11612765308524
52,221019_Amphet_Cage1_3-2NaCl,221019,Cage1,3-2NaCl,1,2,152226,260226,Rear isolated,1,,,,000004849319,000004849319,,,NaCl,NaCl,,,700,4.40251572327044,,9354.029830853613,159,8.43854550707111,3.090844151745097,5.714187294795783
53,221019_Amphet_Cage1_3-2NaCl,221019,Cage1,3-2NaCl,1,2,152226,260226,Rear isolated,2,,,,000004849076,000004849319,,,NaCl,NaCl,,,938,5.211111111111111,,9354.029830853613,180,9.84208022777078,3.773283829730042,6.64893839249218
54,221019_Amphet_Cage1_3-2NaCl,221019,Cage1,3-2NaCl,1,2,152226,260226,Stop isolated,1,,,,000004849319,000004849319,,,NaCl,NaCl,,,72758,90.60772104607722,,9354.029830853613,803,329.82521774673415,67.7947338597566,113.42070823239783
55,221019_Amphet_Cage1_3-2NaCl,221019,Cage1,3-2NaCl,1,2,152226,260226,Stop isolated,2,,,,000004849076,000004849319,,,NaCl,NaCl,,,75903,192.15949367088606,,9354.029830853613,395,455.9790105981554,147.19161759545963,237.1273697463125
56,221019_Amphet_Cage1_3-2NaCl,221019,Cage1,3-2NaCl,1,2,152226,260226,WallJump,1,,,,000004849319,000004849319,,,NaCl,NaCl,,,67,2.310344827586207,,9354.029830853613,29,0.46263475396547377,2.141962958089658,2.4787266970827555
57,221019_Amphet_Cage1_3-2NaCl,221019,Cage1,3-2NaCl,1,2,152226,260226,WallJump,2,,,,000004849076,000004849319,,,NaCl,NaCl,,,45,2.142857142857143,,9354.029830853613,21,0.34992710611188255,1.9931908473861852,2.2925234383281006
58,221019_Amphet_Cage1_3-2NaCl,221019,Cage1,3-2NaCl,1,2,152226,260226,SAP,1,,,,000004849319,000004849319,,,NaCl,NaCl,,,8371,14.711775043936731,,9354.029830853613,569,107.24602344611141,5.899640158198716,23.523909929674744
59,221019_Amphet_Cage1_3-2NaCl,221019,Cage1,3-2NaCl,1,2,152226,260226,SAP,2,,,,000004849076,000004849319,,,NaCl,NaCl,,,4670,7.40095087163233,,9354.029830853613,631,40.03872055037941,4.2768749273794455,10.525026815885214
60,221019_Amphet_Cage1_3-2NaCl,221019,Cage1,3-2NaCl,1,2,152226,260226,Huddling,1,,,,000004849319,000004849319,,,NaCl,NaCl,,,0,,,9354.029830853613,0,,,
61,221019_Amphet_Cage1_3-2NaCl,221019,Cage1,3-2NaCl,1,2,152226,260226,Huddling,2,,,,000004849076,000004849319,,,NaCl,NaCl,,,0,,,9354.029830853613,0,,,
62,221019_Amphet_Cage1_3-2NaCl,221019,Cage1,3-2NaCl,1,2,152226,260226,WaterPoint,1,,,,000004849319,000004849319,,,NaCl,NaCl,,,0,,,9354.029830853613,0,,,
63,221019_Amphet_Cage1_3-2NaCl,221019,Cage1,3-2NaCl,1,2,152226,260226,WaterPoint,2,,,,000004849076,000004849319,,,NaCl,NaCl,,,0,,,9354.029830853613,0,,,
64,221019_Amphet_Cage1_3-2NaCl,221019,Cage1,3-2NaCl,1,2,152226,260226,Contact,1,2,,,000004849319,000004849076,,,NaCl,NaCl,,,17518,86.72277227722772,,9354.029830853613,202,318.55518877159193,42.79238113579352,130.6531634186619
65,221019_Amphet_Cage1_3-2NaCl,221019,Cage1,3-2NaCl,1,2,152226,260226,Contact,2,1,,,000004849076,000004849319,,,NaCl,NaCl,,,17518,86.72277227722772,,9354.029830853613,202,318.55518877159193,42.79238113579352,130.6531634186619
66,221019_Amphet_Cage1_3-2NaCl,221019,Cage1,3-2NaCl,1,2,152226,260226,Oral-oral Contact,1,2,,,000004849319,000004849076,,,NaCl,NaCl,,,2029,6.6743421052631575,,9354.029830853613,304,24.714072798792525,3.896141502711075,9.45254270781524
67,221019_Amphet_Cage1_3-2NaCl,221019,Cage1,3-2NaCl,1,2,152226,260226,Oral-oral Contact,2,1,,,000004849076,000004849319,,,NaCl,NaCl,,,2029,6.6743421052631575,,9354.029830853613,304,24.714072798792525,3.896141502711075,9.45254270781524
68,221019_Amphet_Cage1_3-2NaCl,221019,Cage1,3-2NaCl,1,2,152226,260226,Oral-genital Contact,1,2,,,000004849319,000004849076,,,NaCl,NaCl,,,3693,9.744063324538258,,9354.029830853613,379,65.05135325066414,3.1947947285220657,16.29333192055445
69,221019_Amphet_Cage1_3-2NaCl,221019,Cage1,3-2NaCl,1,2,152226,260226,Oral-genital Contact,2,1,,,000004849076,000004849319,,,NaCl,NaCl,,,2081,8.528688524590164,,9354.029830853613,244,28.082635611177885,5.004987741521465,12.052389307658864
70,221019_Amphet_Cage1_3-2NaCl,221019,Cage1,3-2NaCl,1,2,152226,260226,Side by side Contact,1,2,,,000004849319,000004849076,,,NaCl,NaCl,,,2587,7.0683060109289615,,9354.029830853613,366,26.17580810437925,4.386572451443286,9.750039570414637
71,221019_Amphet_Cage1_3-2NaCl,221019,Cage1,3-2NaCl,1,2,152226,260226,Side by side Contact,2,1,,,000004849076,000004849319,,,NaCl,NaCl,,,2587,7.0683060109289615,,9354.029830853613,366,26.17580810437925,4.386572451443286,9.750039570414637
72,221019_Amphet_Cage1_3-2NaCl,221019,Cage1,3-2NaCl,1,2,152226,260226,"Side by side Contact, opposite way",1,2,,,000004849319,000004849076,,,NaCl,NaCl,,,2590,7.115384615384615,,9354.029830853613,364,36.15675403316383,3.400932069575744,10.829837161193486
73,221019_Amphet_Cage1_3-2NaCl,221019,Cage1,3-2NaCl,1,2,152226,260226,"Side by side Contact, opposite way",2,1,,,000004849076,000004849319,,,NaCl,NaCl,,,2590,7.115384615384615,,9354.029830853613,364,36.15675403316383,3.400932069575744,10.829837161193486
74,221019_Amphet_Cage1_3-2NaCl,221019,Cage1,3-2NaCl,1,2,152226,260226,Social approach,1,2,,,000004849319,000004849076,,,NaCl,NaCl,,,6991,3.1835154826958107,,9354.029830853613,2196,4.879189072175534,2.9794415418638254,3.387589423527796
75,221019_Amphet_Cage1_3-2NaCl,221019,Cage1,3-2NaCl,1,2,152226,260226,Social approach,2,1,,,000004849076,000004849319,,,NaCl,NaCl,,,4931,2.0649078726968173,,9354.029830853613,2388,2.371217280253441,1.9698013591635595,2.160014386230075
76,221019_Amphet_Cage1_3-2NaCl,221019,Cage1,3-2NaCl,1,2,152226,260226,Social escape,1,2,,,000004849319,000004849076,,,NaCl,NaCl,,,1667,2.2680272108843536,,9354.029830853613,735,2.5846745185045075,2.081166385394374,2.4548880363743333
77,221019_Amphet_Cage1_3-2NaCl,221019,Cage1,3-2NaCl,1,2,152226,260226,Social escape,2,1,,,000004849076,000004849319,,,NaCl,NaCl,,,1976,2.2505694760820045,,9354.029830853613,878,2.252529510869299,2.1015718658349667,2.3995670863290424
78,221019_Amphet_Cage1_3-2NaCl,221019,Cage1,3-2NaCl,1,2,152226,260226,Approach contact,1,2,,,000004849319,000004849076,,,NaCl,NaCl,,,946,14.119402985074627,,9354.029830853613,67,18.123558007947935,9.779678762357708,18.459127207791546
79,221019_Amphet_Cage1_3-2NaCl,221019,Cage1,3-2NaCl,1,2,152226,260226,Approach contact,2,1,,,000004849076,000004849319,,,NaCl,NaCl,,,179,7.782608695652174,,9354.029830853613,23,8.861035967204868,4.161207399277013,11.404009992027333
80,221019_Amphet_Cage1_3-2NaCl,221019,Cage1,3-2NaCl,1,2,152226,260226,Approach rear,1,2,,,000004849319,000004849076,,,NaCl,NaCl,,,692,5.323076923076923,,9354.029830853613,130,5.716663072666653,4.340363265531427,6.305790580622419
81,221019_Amphet_Cage1_3-2NaCl,221019,Cage1,3-2NaCl,1,2,152226,260226,Approach rear,2,1,,,000004849076,000004849319,,,NaCl,NaCl,,,421,2.7697368421052633,,9354.029830853613,152,2.701048516528842,2.3403322717887054,3.199141412421821
82,221019_Amphet_Cage1_3-2NaCl,221019,Cage1,3-2NaCl,1,2,152226,260226,Break contact,1,2,,,000004849319,000004849076,,,NaCl,NaCl,,,562,16.057142857142857,,9354.029830853613,35,14.813011379272243,11.149585256869582,20.964700457416132
83,221019_Amphet_Cage1_3-2NaCl,221019,Cage1,3-2NaCl,1,2,152226,260226,Break contact,2,1,,,000004849076,000004849319,,,NaCl,NaCl,,,710,11.639344262295081,,9354.029830853613,61,14.278302680601097,8.056171583410208,15.222516941179954
84,221019_Amphet_Cage1_3-2NaCl,221019,Cage1,3-2NaCl,1,2,152226,260226,Get away,1,2,,,000004849319,000004849076,,,NaCl,NaCl,,,4971,3.270394736842105,,9354.029830853613,1520,5.222664912815223,3.0078360209456925,3.532953452738518
85,221019_Amphet_Cage1_3-2NaCl,221019,Cage1,3-2NaCl,1,2,152226,260226,Get away,2,1,,,000004849076,000004849319,,,NaCl,NaCl,,,3155,2.83213644524237,,9354.029830853613,1114,3.890744151136813,2.6036575189455955,3.060615371539144
86,221019_Amphet_Cage1_3-2NaCl,221019,Cage1,3-2NaCl,1,2,152226,260226,FollowZone Isolated,1,2,,,000004849319,000004849076,,,NaCl,NaCl,,,1704,4.8,,9354.029830853613,355,7.803357890433912,3.988247900539838,5.611752099460162
87,221019_Amphet_Cage1_3-2NaCl,221019,Cage1,3-2NaCl,1,2,152226,260226,FollowZone Isolated,2,1,,,000004849076,000004849319,,,NaCl,NaCl,,,627,2.863013698630137,,9354.029830853613,219,3.5512493209486675,2.3926701650186986,3.333357232241575
88,221019_Amphet_Cage1_3-2NaCl,221019,Cage1,3-2NaCl,1,2,152226,260226,Train2,1,2,,,000004849319,000004849076,,,NaCl,NaCl,,,354,10.114285714285714,,9354.029830853613,35,8.869760597740195,7.175729878505152,13.052841550066276
89,221019_Amphet_Cage1_3-2NaCl,221019,Cage1,3-2NaCl,1,2,152226,260226,Train2,2,1,,,000004849076,000004849319,,,NaCl,NaCl,,,53,6.625,,9354.029830853613,8,1.9324531042175384,5.285878319569129,7.964121680430871
90,221019_Amphet_Cage1_3-2NaCl,221019,Cage1,3-2NaCl,1,2,152226,260226,Group2,1,2,,,000004849319,000004849076,,,NaCl,NaCl,,,17518,86.72277227722772,,9354.029830853613,202,318.55518877159193,42.79238113579352,130.6531634186619
91,221019_Amphet_Cage1_3-2NaCl,221019,Cage1,3-2NaCl,1,2,152226,260226,Group2,2,1,,,000004849076,000004849319,,,NaCl,NaCl,,,17518,86.72277227722772,,9354.029830853613,202,318.55518877159193,42.79238113579352,130.6531634186619
92,221019_Amphet_Cage1_3-2NaCl,221019,Cage1,3-2NaCl,1,3,260226,368226,Move,1,,,,000004849319,000004849319,,,NaCl,NaCl,,,0,,,5161.605495269329,0,,,
93,221019_Amphet_Cage1_3-2NaCl,221019,Cage1,3-2NaCl,1,3,260226,368226,Move,2,,,,000004849076,000004849319,,,NaCl,NaCl,,,0,,,5161.605495269329,0,,,
